Survived,PassengerId,Pclass,Sex,Age,Relatives
0,141,3,1,29.0,2
1,142,3,1,22.0,0
1,143,3,1,24.0,1
0,144,3,0,19.0,0
0,145,2,0,18.0,0
0,146,2,0,19.0,2
1,147,3,0,27.0,0
0,148,3,1,9.0,4
0,149,2,0,36.5,2
0,150,2,0,42.0,0
0,151,2,0,51.0,0
1,152,1,1,22.0,1
0,153,3,0,55.5,0
0,154,3,0,40.5,2
0,155,3,0,29.0,0
0,156,1,0,51.0,1
1,157,3,1,16.0,0
0,158,3,0,30.0,0
0,159,3,0,29.0,0
0,160,3,0,29.0,10
0,161,3,0,44.0,1
1,162,2,1,40.0,0
0,163,3,0,26.0,0
0,164,3,0,17.0,0
0,165,3,0,1.0,5
1,166,3,0,9.0,2
1,167,1,1,29.0,1
0,168,3,1,45.0,5
0,169,1,0,29.0,0
0,170,3,0,28.0,0
0,171,1,0,61.0,0
0,172,3,0,4.0,5
1,173,3,1,1.0,2
0,174,3,0,21.0,0
0,175,1,0,56.0,0
0,176,3,0,18.0,2
0,177,3,0,29.0,4
0,178,1,1,50.0,0
0,179,2,0,30.0,0
0,180,3,0,36.0,0
0,181,3,1,29.0,10
0,182,2,0,29.0,0
0,183,3,0,9.0,6
1,184,2,0,1.0,3
1,185,3,1,4.0,2
0,186,1,0,29.0,0
1,187,3,1,29.0,1
1,188,1,0,45.0,0
0,189,3,0,40.0,2
0,190,3,0,36.0,0
1,191,2,1,32.0,0
0,192,2,0,19.0,0
1,193,3,1,19.0,1
1,194,2,0,3.0,2
1,195,1,1,44.0,0
1,196,1,1,58.0,0
0,197,3,0,29.0,0
0,198,3,0,42.0,1
1,199,3,1,29.0,0
0,200,2,1,24.0,0
0,201,3,0,28.0,0
0,202,3,0,29.0,10
0,203,3,0,34.0,0
0,204,3,0,45.5,0
1,205,3,0,18.0,0
0,206,3,1,2.0,1
0,207,3,0,32.0,1
1,208,3,0,26.0,0
1,209,3,1,16.0,0
1,210,1,0,40.0,0
0,211,3,0,24.0,0
1,212,2,1,35.0,0
0,213,3,0,22.0,0
0,214,2,0,30.0,0
0,215,3,0,29.0,1
1,216,1,1,31.0,1
1,217,3,1,27.0,0
0,218,2,0,42.0,1
1,219,1,1,32.0,0
0,220,2,0,30.0,0
1,221,3,0,16.0,0
0,222,2,0,27.0,0
0,223,3,0,51.0,0
0,224,3,0,29.0,0
1,225,1,0,38.0,1
0,226,3,0,22.0,0
1,227,2,0,19.0,0
0,228,3,0,20.5,0
0,229,2,0,18.0,0
0,230,3,1,29.0,4
1,231,1,1,35.0,1
0,232,3,0,29.0,0
0,233,2,0,59.0,0
1,234,3,1,5.0,6
0,235,2,0,24.0,0
0,236,3,1,29.0,0
0,237,2,0,44.0,1
1,238,2,1,8.0,2
0,239,2,0,19.0,0
0,240,2,0,33.0,0
0,241,3,1,29.0,1
1,242,3,1,29.0,1
0,243,2,0,29.0,0
0,244,3,0,22.0,0
0,245,3,0,30.0,0
0,246,1,0,44.0,2
0,247,3,1,25.0,0
1,248,2,1,24.0,2
1,249,1,0,37.0,2
0,250,2,0,54.0,1
0,251,3,0,29.0,0
0,252,3,1,29.0,2
0,253,1,0,62.0,0
0,254,3,0,30.0,1
0,255,3,1,41.0,2
1,256,3,1,29.0,2
1,257,1,1,29.0,0
1,258,1,1,30.0,0
1,259,1,1,35.0,0
1,260,2,1,50.0,1
0,261,3,0,29.0,0
1,262,3,0,3.0,6
0,263,1,0,52.0,2
0,264,1,0,40.0,0
0,265,3,1,29.0,0
0,266,2,0,36.0,0
0,267,3,0,16.0,5
1,268,3,0,25.0,1
1,269,1,1,58.0,1
1,270,1,1,35.0,0
0,271,1,0,29.0,0
1,272,3,0,25.0,0
1,273,2,1,41.0,1
0,274,1,0,37.0,1
1,275,3,1,29.0,0
1,276,1,1,63.0,1
0,277,3,1,45.0,0
0,278,2,0,29.0,0
0,279,3,0,7.0,5
1,280,3,1,35.0,2
0,281,3,0,65.0,0
0,282,3,0,28.0,0
0,283,3,0,16.0,0
1,284,3,0,19.0,0
0,285,1,0,29.0,0
0,286,3,0,33.0,0
1,287,3,0,30.0,0
0,288,3,0,22.0,0
1,289,2,0,42.0,0
1,290,3,1,22.0,0
1,291,1,1,26.0,0
1,292,1,1,19.0,1
0,293,2,0,36.0,0
0,294,3,1,24.0,0
0,295,3,0,24.0,0
0,296,1,0,29.0,0
0,297,3,0,23.5,0
0,298,1,1,2.0,3
1,299,1,0,29.0,0
1,300,1,1,50.0,1
1,301,3,1,29.0,0
1,302,3,0,29.0,2
0,303,3,0,19.0,0
1,304,2,1,29.0,0
0,305,3,0,29.0,0
1,306,1,0,0.92,3
1,307,1,1,29.0,0
1,308,1,1,17.0,1
0,309,2,0,30.0,1
1,310,1,1,30.0,0
1,311,1,1,24.0,0
1,312,1,1,18.0,4
0,313,2,1,26.0,2
0,314,3,0,28.0,0
0,315,2,0,43.0,2
1,316,3,1,26.0,0
1,317,2,1,24.0,1
0,318,2,0,54.0,0
1,319,1,1,31.0,2
1,320,1,1,40.0,2
0,321,3,0,22.0,0
0,322,3,0,27.0,0
1,323,2,1,30.0,0
1,324,2,1,22.0,2
0,325,3,0,29.0,10
1,326,1,1,36.0,0
0,327,3,0,61.0,0
1,328,2,1,36.0,0
1,329,3,1,31.0,2
1,330,1,1,16.0,1
1,331,3,1,29.0,2
0,332,1,0,45.5,0
0,333,1,0,38.0,1
0,334,3,0,16.0,2
1,335,1,1,29.0,1
0,336,3,0,29.0,0
0,337,1,0,29.0,1
1,338,1,1,41.0,0
1,339,3,0,45.0,0
0,340,1,0,45.0,0
1,341,2,0,2.0,2
1,342,1,1,24.0,5
0,343,2,0,28.0,0
0,344,2,0,25.0,0
0,345,2,0,36.0,0
1,346,2,1,24.0,0
1,347,2,1,40.0,0
1,348,3,1,29.0,1
1,349,3,0,3.0,2
0,350,3,0,42.0,0
0,351,3,0,23.0,0
0,352,1,0,29.0,0
0,353,3,0,15.0,2
0,354,3,0,25.0,1
0,355,3,0,29.0,0
0,356,3,0,28.0,0
1,357,1,1,22.0,1
0,358,2,1,38.0,0
1,359,3,1,29.0,0
1,360,3,1,29.0,0
0,361,3,0,40.0,5
0,362,2,0,29.0,1
0,363,3,1,45.0,1
0,364,3,0,35.0,0
0,365,3,0,29.0,1
0,366,3,0,30.0,0
1,367,1,1,60.0,1
1,368,3,1,29.0,0
1,369,3,1,29.0,0
1,370,1,1,24.0,0
1,371,1,0,25.0,1
0,372,3,0,18.0,1
0,373,3,0,19.0,0
0,374,1,0,22.0,0
0,375,3,1,3.0,4
1,376,1,1,29.0,1
1,377,3,1,22.0,0
0,378,1,0,27.0,2
0,379,3,0,20.0,0
0,380,3,0,19.0,0
1,381,1,1,42.0,0
1,382,3,1,1.0,2
0,383,3,0,32.0,0
1,384,1,1,35.0,1
0,385,3,0,29.0,0
0,386,2,0,18.0,0
0,387,3,0,1.0,7
1,388,2,1,36.0,0
0,389,3,0,29.0,0
1,390,2,1,17.0,0
1,391,1,0,36.0,3
1,392,3,0,21.0,0
0,393,3,0,28.0,2
1,394,1,1,23.0,1
1,395,3,1,24.0,2
0,396,3,0,22.0,0
0,397,3,1,31.0,0
0,398,2,0,46.0,0
0,399,2,0,23.0,0
1,400,2,1,28.0,0
1,401,3,0,39.0,0
0,402,3,0,26.0,0
0,403,3,1,21.0,1
0,404,3,0,28.0,1
0,405,3,1,20.0,0
0,406,2,0,34.0,1
0,407,3,0,51.0,0
1,408,2,0,3.0,2
0,409,3,0,21.0,0
0,410,3,1,29.0,4
0,411,3,0,29.0,0
0,412,3,0,29.0,0
1,413,1,1,33.0,1
0,414,2,0,29.0,0
1,415,3,0,44.0,0
0,416,3,1,29.0,0
1,417,2,1,34.0,2
1,418,2,1,18.0,2
0,419,2,0,30.0,0
0,420,3,1,10.0,2
0,421,3,0,29.0,0
0,422,3,0,21.0,0
0,423,3,0,29.0,0
0,424,3,1,28.0,2
0,425,3,0,18.0,2
0,426,3,0,29.0,0
1,427,2,1,28.0,1
1,428,2,1,19.0,0
0,429,3,0,29.0,0
1,430,3,0,32.0,0
1,431,1,0,28.0,0
1,432,3,1,29.0,1
1,433,2,1,42.0,1
0,434,3,0,17.0,0
0,435,1,0,50.0,1
1,436,1,1,14.0,3
0,437,3,1,21.0,4
1,438,2,1,24.0,5
0,439,1,0,64.0,5
0,440,2,0,31.0,0
1,441,2,1,45.0,2
0,442,3,0,20.0,0
0,443,3,0,25.0,1
1,444,2,1,28.0,0
1,445,3,0,29.0,0
1,446,1,0,4.0,2
1,447,2,1,13.0,1
1,448,1,0,34.0,0
1,449,3,1,5.0,3
1,450,1,0,52.0,0
0,451,2,0,36.0,3
0,452,3,0,29.0,1
0,453,1,0,30.0,0
1,454,1,0,49.0,1
0,455,3,0,29.0,0
1,456,3,0,29.0,0
0,457,1,0,65.0,0
1,458,1,1,29.0,1
1,459,2,1,50.0,0
0,460,3,0,29.0,0
1,461,1,0,48.0,0
0,462,3,0,34.0,0
0,463,1,0,47.0,0
0,464,2,0,48.0,0
0,465,3,0,29.0,0
0,466,3,0,38.0,0
0,467,2,0,29.0,0
0,468,1,0,56.0,0
0,469,3,0,29.0,0
1,470,3,1,0.75,3
0,471,3,0,29.0,0
0,472,3,0,38.0,0
1,473,2,1,33.0,3
1,474,2,1,23.0,0
0,475,3,1,22.0,0
0,476,1,0,29.0,0
0,477,2,0,34.0,1
0,478,3,0,29.0,1
0,479,3,0,22.0,0
1,480,3,1,2.0,1
0,481,3,0,9.0,7
0,482,2,0,29.0,0
0,483,3,0,50.0,0
1,484,3,1,63.0,0
1,485,1,0,25.0,1
0,486,3,1,29.0,4
1,487,1,1,35.0,1
0,488,1,0,58.0,0
0,489,3,0,30.0,0
1,490,3,0,9.0,2
0,491,3,0,29.0,1
0,492,3,0,21.0,0
0,493,1,0,55.0,0
0,494,1,0,71.0,0
0,495,3,0,21.0,0
0,496,3,0,29.0,0
1,497,1,1,54.0,1
0,498,3,0,29.0,0
0,499,1,1,25.0,3
0,500,3,0,24.0,0
0,501,3,0,17.0,0
0,502,3,1,21.0,0
0,503,3,1,29.0,0
0,504,3,1,37.0,0
1,505,1,1,16.0,0
0,506,1,0,18.0,1
1,507,2,1,33.0,2
1,508,1,0,29.0,0
0,509,3,0,28.0,0
1,510,3,0,26.0,0
1,511,3,0,29.0,0
0,512,3,0,29.0,0
1,513,1,0,36.0,0
1,514,1,1,54.0,1
0,515,3,0,24.0,0
0,516,1,0,47.0,0
1,517,2,1,34.0,0
0,518,3,0,29.0,0
1,519,2,1,36.0,1
0,520,3,0,32.0,0
1,521,1,1,30.0,0
0,522,3,0,22.0,0
0,523,3,0,29.0,0
1,524,1,1,44.0,1
0,525,3,0,29.0,0
0,526,3,0,40.5,0
1,527,2,1,50.0,0
0,528,1,0,29.0,0
0,529,3,0,39.0,0
0,530,2,0,23.0,3
1,531,2,1,2.0,2
0,532,3,0,29.0,0
0,533,3,0,17.0,2
1,534,3,1,29.0,2
0,535,3,1,30.0,0
1,536,2,1,7.0,2
0,537,1,0,45.0,0
1,538,1,1,30.0,0
0,539,3,0,29.0,0
1,540,1,1,22.0,2
1,541,1,1,36.0,2
0,542,3,1,9.0,6
0,543,3,1,11.0,6
1,544,2,0,32.0,1
0,545,1,0,50.0,1
0,546,1,0,64.0,0
1,547,2,1,19.0,1
1,548,2,0,29.0,0
0,549,3,0,33.0,2
1,550,2,0,8.0,2
1,551,1,0,17.0,2
0,552,2,0,27.0,0
0,553,3,0,29.0,0
1,554,3,0,22.0,0
1,555,3,1,22.0,0
0,556,1,0,62.0,0
1,557,1,1,48.0,1
0,558,1,0,29.0,0
1,559,1,1,39.0,2
1,560,3,1,36.0,1
0,561,3,0,29.0,0
0,562,3,0,40.0,0
0,563,2,0,28.0,0
0,564,3,0,29.0,0
0,565,3,1,29.0,0
0,566,3,0,24.0,2
0,567,3,0,19.0,0
0,568,3,1,29.0,4
0,569,3,0,29.0,0
1,570,3,0,32.0,0
1,571,2,0,62.0,0
1,572,1,1,53.0,2
1,573,1,0,36.0,0
1,574,3,1,29.0,0
0,575,3,0,16.0,0
0,576,3,0,19.0,0
1,577,2,1,34.0,0
1,578,1,1,39.0,1
0,579,3,1,29.0,1
1,580,3,0,32.0,0
1,581,2,1,25.0,2
1,582,1,1,39.0,2
0,583,2,0,54.0,0
0,584,1,0,36.0,0
0,585,3,0,29.0,0
1,586,1,1,18.0,2
0,587,2,0,47.0,0
1,588,1,0,60.0,2
0,589,3,0,22.0,0
0,590,3,0,29.0,0
0,591,3,0,35.0,0
1,592,1,1,52.0,1
0,593,3,0,47.0,0
0,594,3,1,29.0,2
0,595,2,0,37.0,1
0,596,3,0,36.0,2
1,597,2,1,29.0,0
0,598,3,0,49.0,0
0,599,3,0,29.0,0
1,600,1,0,49.0,1
1,601,2,1,24.0,3
0,602,3,0,29.0,0
0,603,1,0,29.0,0
0,604,3,0,44.0,0
1,605,1,0,35.0,0
0,606,3,0,36.0,1
0,607,3,0,30.0,0
1,608,1,0,27.0,0
1,609,2,1,22.0,3
1,610,1,1,40.0,0
0,611,3,1,39.0,6
0,612,3,0,29.0,0
1,613,3,1,29.0,1
0,614,3,0,29.0,0
0,615,3,0,35.0,0
1,616,2,1,24.0,3
0,617,3,0,34.0,2
0,618,3,1,26.0,1
1,619,2,1,4.0,3
0,620,2,0,26.0,0
0,621,3,0,27.0,1
1,622,1,0,42.0,1
1,623,3,0,20.0,2
0,624,3,0,21.0,0
0,625,3,0,21.0,0
0,626,1,0,61.0,0
0,627,2,0,57.0,0
1,628,1,1,21.0,0
0,629,3,0,26.0,0
0,630,3,0,29.0,0
1,631,1,0,80.0,0
0,632,3,0,51.0,0
1,633,1,0,32.0,0
0,634,1,0,29.0,0
0,635,3,1,9.0,5
1,636,2,1,28.0,0
0,637,3,0,32.0,0
0,638,2,0,31.0,2
0,639,3,1,41.0,5
0,640,3,0,29.0,1
0,641,3,0,20.0,0
1,642,1,1,24.0,0
0,643,3,1,2.0,5
1,644,3,0,29.0,0
1,645,3,1,0.75,3
1,646,1,0,48.0,1
0,647,3,0,19.0,0
1,648,1,0,56.0,0
0,649,3,0,29.0,0
1,650,3,1,23.0,0
0,651,3,0,29.0,0
1,652,2,1,18.0,1
0,653,3,0,21.0,0
1,654,3,1,29.0,0
0,655,3,1,18.0,0
0,656,2,0,24.0,2
0,657,3,0,29.0,0
0,658,3,1,32.0,2
0,659,2,0,23.0,0
0,660,1,0,58.0,2
1,661,1,0,50.0,2
0,662,3,0,40.0,0
0,663,1,0,47.0,0
0,664,3,0,36.0,0
1,665,3,0,20.0,1
0,666,2,0,32.0,2
0,667,2,0,25.0,0
0,668,3,0,29.0,0
0,669,3,0,43.0,0
1,670,1,1,29.0,1
1,671,2,1,40.0,2
0,672,1,0,31.0,1
0,673,2,0,70.0,0
1,674,2,0,31.0,0
0,675,2,0,29.0,0
0,676,3,0,18.0,0
0,677,3,0,24.5,0
1,678,3,1,18.0,0
0,679,3,1,43.0,7
1,680,1,0,36.0,1
0,681,3,1,29.0,0
1,682,1,0,27.0,0
0,683,3,0,20.0,0
0,684,3,0,14.0,7
0,685,2,0,60.0,2
0,686,2,0,25.0,3
0,687,3,0,14.0,5
0,688,3,0,19.0,0
0,689,3,0,18.0,0
1,690,1,1,15.0,1
1,691,1,0,31.0,1
1,692,3,1,4.0,1
1,693,3,0,29.0,0
0,694,3,0,25.0,0
0,695,1,0,60.0,0
0,696,2,0,52.0,0
0,697,3,0,44.0,0
1,698,3,1,29.0,0
0,699,1,0,49.0,2
0,700,3,0,42.0,0
1,701,1,1,18.0,1
1,702,1,0,35.0,0
0,703,3,1,18.0,1
0,704,3,0,25.0,0
0,705,3,0,26.0,1
0,706,2,0,39.0,0
1,707,2,1,45.0,0
1,708,1,0,42.0,0
1,709,1,1,22.0,0
1,710,3,0,29.0,2
1,711,1,1,24.0,0
0,712,1,0,29.0,0
1,713,1,0,48.0,1
0,714,3,0,29.0,0
0,715,2,0,52.0,0
0,716,3,0,19.0,0
1,717,1,1,38.0,0
1,718,2,1,27.0,0
0,719,3,0,29.0,0
0,720,3,0,33.0,0
1,721,2,1,6.0,1
0,722,3,0,17.0,1
0,723,2,0,34.0,0
0,724,2,0,50.0,0
1,725,1,0,27.0,1
0,726,3,0,20.0,0
1,727,2,1,30.0,3
1,728,3,1,29.0,0
0,729,2,0,25.0,1
0,730,3,1,25.0,1
1,731,1,1,29.0,0
0,732,3,0,11.0,0
0,733,2,0,29.0,0
0,734,2,0,23.0,0
0,735,2,0,23.0,0
0,736,3,0,28.5,0
0,737,3,1,48.0,4
1,738,1,0,35.0,0
0,739,3,0,29.0,0
0,740,3,0,29.0,0
1,741,1,0,29.0,0
0,742,1,0,36.0,1
1,743,1,1,21.0,4
0,744,3,0,24.0,1
1,745,3,0,31.0,0
0,746,1,0,70.0,2
0,747,3,0,16.0,2
1,748,2,1,30.0,0
0,749,1,0,19.0,1
0,750,3,0,31.0,0
1,751,2,1,4.0,2
1,752,3,0,6.0,1
0,753,3,0,33.0,0
0,754,3,0,23.0,0
1,755,2,1,48.0,3
1,756,2,0,0.67,2
0,757,3,0,28.0,0
0,758,2,0,18.0,0
0,759,3,0,34.0,0
1,760,1,1,33.0,0
0,761,3,0,29.0,0
0,762,3,0,41.0,0
1,763,3,0,20.0,0
1,764,1,1,36.0,3
0,765,3,0,16.0,0
1,766,1,1,51.0,1
0,767,1,0,29.0,0
0,768,3,1,30.5,0
0,769,3,0,29.0,1
0,770,3,0,32.0,0
0,771,3,0,24.0,0
0,772,3,0,48.0,0
0,773,2,1,57.0,0
0,774,3,0,29.0,0
1,775,2,1,54.0,4
0,776,3,0,18.0,0
0,777,3,0,29.0,0
1,778,3,1,5.0,0
0,779,3,0,29.0,0
1,780,1,1,43.0,1
1,781,3,1,13.0,0
1,782,1,1,17.0,1
0,783,1,0,29.0,0
0,784,3,0,29.0,3
0,785,3,0,25.0,0
0,786,3,0,25.0,0
1,787,3,1,18.0,0
0,788,3,0,8.0,5
1,789,3,0,1.0,3
0,790,1,0,46.0,0
0,791,3,0,29.0,0
0,792,2,0,16.0,0
0,793,3,1,29.0,10
0,794,1,0,29.0,0
0,795,3,0,25.0,0
0,796,2,0,39.0,0
1,797,1,1,49.0,0
1,798,3,1,31.0,0
0,799,3,0,30.0,0
0,800,3,1,30.0,2
0,801,2,0,34.0,0
1,802,2,1,31.0,2
1,803,1,0,11.0,3
1,804,3,0,0.42,1
1,805,3,0,27.0,0
0,806,3,0,31.0,0
0,807,1,0,39.0,0
0,808,3,1,18.0,0
0,809,2,0,39.0,0
1,810,1,1,33.0,1
0,811,3,0,26.0,0
0,812,3,0,39.0,0
0,813,2,0,35.0,0
0,814,3,1,6.0,6
0,815,3,0,30.5,0
0,816,1,0,29.0,0
0,817,3,1,23.0,0
0,818,2,0,31.0,2
0,819,3,0,43.0,0
0,820,3,0,10.0,5
1,821,1,1,52.0,2
1,822,3,0,27.0,0
0,823,1,0,38.0,0
1,824,3,1,27.0,1
0,825,3,0,2.0,5
0,826,3,0,29.0,0
0,827,3,0,29.0,0
1,828,2,0,1.0,2
1,829,3,0,29.0,0
1,830,1,1,62.0,0
1,831,3,1,15.0,1
1,832,2,0,0.83,2
0,833,3,0,29.0,0
0,834,3,0,23.0,0
0,835,3,0,18.0,0
1,836,1,1,39.0,2
0,837,3,0,21.0,0
0,838,3,0,29.0,0
1,839,3,0,32.0,0
1,840,1,0,29.0,0
0,841,3,0,20.0,0
0,842,2,0,16.0,0
1,843,1,1,30.0,0
0,844,3,0,34.5,0
0,845,3,0,17.0,0
0,846,3,0,42.0,0
0,847,3,0,29.0,10
0,848,3,0,35.0,0
0,849,2,0,28.0,1
1,850,1,1,29.0,1
0,851,3,0,4.0,6
0,852,3,0,74.0,0
0,853,3,1,9.0,2
1,854,1,1,16.0,1
0,855,2,1,44.0,1
1,856,3,1,18.0,1
1,857,1,1,45.0,2
1,858,1,0,51.0,0
1,859,3,1,24.0,3
0,860,3,0,29.0,0
0,861,3,0,41.0,2
0,862,2,0,21.0,1
1,863,1,1,48.0,0
0,864,3,1,29.0,10
0,865,2,0,24.0,0
1,866,2,1,42.0,0
1,867,2,1,27.0,1
0,868,1,0,31.0,0
0,869,3,0,29.0,0
1,870,3,0,4.0,2
0,871,3,0,26.0,0
1,872,1,1,47.0,2
0,873,1,0,33.0,0
0,874,3,0,47.0,0
1,875,2,1,28.0,1
1,876,3,1,15.0,0
0,877,3,0,20.0,0
0,878,3,0,19.0,0
0,879,3,0,29.0,0
1,880,1,1,56.0,1
1,881,2,1,25.0,1
0,882,3,0,33.0,0
0,883,3,1,22.0,0
0,884,2,0,28.0,0
0,885,3,0,25.0,0
0,886,3,1,39.0,5
0,887,2,0,27.0,0
1,888,1,1,19.0,0
0,889,3,1,29.0,3
1,890,1,0,26.0,0
0,891,3,0,32.0,0
